STATION_NUMBER,ADDRESS,CITY,PROVINCE,COUNTRY,POSTAL_CODE,UTM_EASTING,UTM_NORTHING,LAT,LONG
334,339 Queens Quay West,Toronto,Ontario,Canada,M5J 3H3,629938.741,4832672.722,43.637585,-79.388438
335,235 Cibola Avenue,Toronto,Ontario,Canada,M5J 1X9,632600.75,4831690.5,43.625151,-79.35921
341,555 Oakwood Avenue,Toronto,Ontario,Canada,M6E 2X4,625584.625,4838884,43.694508,-79.44116
342,106 Ascot Avenue,Toronto,Ontario,Canada,M6E 1G2,625042.625,4837193,43.679327,-79.448629
343,65 Hendrick Avenue,Toronto,Ontario,Canada,M6G 3S4,626445.188,4837353,43.680116,-79.430703
344,240 Howland Avenue,Toronto,Ontario,Canada,M5R 3B6,628033.938,4836538,43.672971,-79.411827
345,1285 Dufferin Street,Toronto,Ontario,Canada,M6H 4C2,625878.938,4835910,43.667404,-79.438113
346,90 Quebec Street,Toronto,Ontario,Canada,M6K 3C3,627310.907,4832179.37,43.633636,-79.421399
411,75 Toryork Drive,Toronto,Ontario,Canada,M9L 1X9,616990.25,4845405,43.755504,-79.548848
412,267 Humberline Drive,Toronto,Ontario,Canada,M9W 5T6,611273.5,4843477,43.738104,-79.617903
413,1549 Albion Road,Toronto,Ontario,Canada,M9W 5T6,613721.562,4843825,43.740201,-79.586901
415,2120 Kipling Avenue,Etobicoke,Ontario,Canada,M9W 4K5,615177.812,4841340.5,43.718055,-79.569728
421,6 Lambton Avenue,York,Ontario,Canada,M6N 2S1,622157.688,4837701,43.683951,-79.485138
422,590 Jane Street,York,Ontario,Canada,M6S 4A6,621659.188,4835492.5,43.664265,-79.490953
423,358 Keele Street,Toronto,Ontario,Canada,M6P 2K7,623776,4835617,43.664697,-79.464752
424,462 Runnymede Road,Toronto,Ontario,Canada,M6S 2Y1,622593,4834825.5,43.658339,-79.479609
425,83 Deforest Road,Toronto,Ontario,Canada,M6S 1J5,622722.938,4833689,43.648026,-79.478028
426,140 Lansdowne Avenue,Toronto,Ontario,Canada,M6K 2V9,625925.812,4833402,43.64506,-79.438729
431,308 Prince Edward Drive South,Etobicoke,Ontario,Canada,M8Y 3Z2,620595.562,4833435.5,43.646446,-79.504791
432,155 The East Mall,Etobicoke,Ontario,Canada,M8Z 5Y5,617004,4830799,43.623259,-79.549323
433,615 Royal York Road,Etobicoke,Ontario,Canada,M8Y 2S8,620748.188,4831423.5,43.627885,-79.503057
434,3 Lunness Road,Etobicoke,Ontario,Canada,M8W 4M2,617493.188,4828488.5,43.602588,-79.543967
435,130 Eighth Street,Etobicoke,Ontario,Canada,M8V 3C6,620520.25,4828375,43.60116,-79.506987
441,947 Martin Grove Road,Etobicoke,Ontario,Canada,M9W 4V6,615019.438,4838808,43.694943,-79.571801
442,2015 Lawrence Avenue West,York,Ontario,Canada,M9N 3V5,619757.75,4839479,43.700602,-79.512434
443,1724 Islington Avenue,Etobicoke,Ontario,Canada,M9A 3N2,617862.125,4836773.5,43.678066,-79.53858
444,666 Renforth Drive,Etobicoke,Ontario,Canada,M9C 2N6,614329.062,4834499.5,43.657462,-79.582665
445,280 Burnhamthorpe Road,Etobicoke,Ontario,Canada,M9B 1Z5,617290.5,4833754,43.649369,-79.545252
