"","ACCURACY","FNR","PRECISION","RECALL","F1Score","model"
"1",0.916871384420319,0.315721649484536,0.906585365853659,0.684278350515464,0.779899286613512,"LR"
"2",0.916580803677578,0.309851196082125,0.888457807953443,0.690148803917875,0.776847238418319,"LR"
"3",0.916128265091759,0.311736393928175,0.895903614457831,0.688263606071825,0.778475711892797,"LR"
"4",0.916168139138703,0.313983679525223,0.897379912663755,0.686016320474777,0.777590918646206,"LR"
"5",0.91319857312723,0.326820276497696,0.897517817645613,0.673179723502304,0.76932799662945,"LR"
"6",0.91452686638136,0.323475046210721,0.899926235554463,0.676524953789279,0.772396327951884,"LR"
"7",0.918172452052623,0.307256235827664,0.89305724725944,0.692743764172336,0.78024901564329,"LR"
"8",0.91747957807915,0.3125,0.900757760938646,0.6875,0.779811660141784,"LR"
"9",0.915804905107175,0.314386880357808,0.893611853291231,0.685613119642192,0.77591479489613,"LR"
"10",0.916643556119013,0.315037593984962,0.894891944990177,0.684962406015038,0.775979557069847,"LR"
"11",0.910258442999841,0.283685292468697,0.837082332386984,0.716314707531303,0.772004028197382,"NB"
"12",0.909217101610217,0.284715835938937,0.839956803455724,0.715284164061063,0.772623423065461,"NB"
"13",0.913679619349722,0.272145946962573,0.841304347826087,0.727854053037427,0.780477967127155,"NB"
"14",0.910944503947003,0.295496836620767,0.852126941255908,0.704503163379233,0.771315065702353,"NB"
"15",0.9083918024339,0.286408674518602,0.830504786771105,0.713591325481398,0.767621920563097,"NB"
"16",0.913086596056964,0.290926099158092,0.856303660189788,0.709073900841908,0.775765018933579,"NB"
"17",0.909494901400627,0.288835400851694,0.841955282770715,0.711164599148306,0.771052895714142,"NB"
"18",0.911485816306288,0.279381635313839,0.841086956521739,0.720618364686161,0.77620623934196,"NB"
"19",0.909188246024507,0.298384066140549,0.841749323715059,0.701615933859451,0.765320762451322,"NB"
"20",0.908643933386201,0.295520757465404,0.85032967032967,0.704479242534596,0.770563632742482,"NB"
"21",0.894663867210712,0.308810172570391,0.798698572628044,0.691189827429609,0.741065342292336,"RF"
"22",0.893936393520535,0.309793718639658,0.786031746031746,0.690206281360342,0.735008905600633,"RF"
"23",0.89732107474043,0.313063063063063,0.798603534802531,0.686936936936937,0.738573302391282,"RF"
"24",0.897492771418386,0.304907632020899,0.796110279974353,0.695092367979101,0.742179717075115,"RF"
"25",0.895968636147632,0.299685126875347,0.789352818371608,0.700314873124653,0.742172931592894,"RF"
"26",0.898229212058789,0.307436796456911,0.806056701030928,0.692563203543089,0.745012406947891,"RF"
"27",0.896727935350975,0.310331753554502,0.789496527777778,0.689668246445498,0.736213700293433,"RF"
"28",0.894663867210712,0.308124298015724,0.784880016988745,0.691875701984276,0.735449209033927,"RF"
"29",0.894957816770309,0.303914327917282,0.789363484087102,0.696085672082718,0.739795918367347,"RF"
"30",0.896056070325493,0.306020990609464,0.796491969568893,0.693979009390536,0.741710124963101,"RF"
